|artist|date|genre|style_name|title
64|Paul Signac|1923|cityscape|Impressionism|Rodez
65|Koloman Moser|1911|portrait|Art Nouveau (Modern)|Dancer Miss Olga George
66|Karl Bodmer|1844|portrait|Romanticism|Wahk-Ta-Ge-Li, a Sioux Warrior, plate 8 from Volume 2 of 'Travels in the Interior of North America'
67|Edouard Vuillard|1899|cityscape|Post-Impressionism|The Cake Shop
68|Ferdinand Hodler|1906|symbolic painting|Art Nouveau (Modern)|Transfiguration
69|Ferdinand Hodler|1878|landscape|Realism|Spanish landscape
70|Koloman Moser|1915|nude painting (nu)|Art Nouveau (Modern)|Standing youth
71|Ferdinand Hodler|1908|sketch and study|Symbolism|The German students in the War of Liberation of 1813
72|Franz Stuck|1917|genre painting|Symbolism|Springtime of love
73|Koloman Moser|1905|design|Art Nouveau (Modern)|Am Steinhof Church, mosaic design for the main altar
74|Koloman Moser|1898|design|Art Nouveau (Modern)|Vignettes for the catalog  Secessionausstellung, 1898
75|Valentin Serov|1907.0|portrait|Art Nouveau (Modern)|Portrait of Henrietta Girshman
76|Ferdinand Hodler|1878|landscape|Realism|Olive trees in Spain
77|Ferdinand Hodler|1912|landscape|Symbolism|From Le Grand Muveran Villars
78|Ferdinand Hodler|1898|portrait|Art Nouveau (Modern)|Portrait of Madame de R.
79|Konstantin Somov|1900|portrait|Realism|Lady in Blue. Portrait of the Artist Yelizaveta Martynova
80|Karl Bodmer|1844|portrait|Romanticism|A Missouri Indian, an Oto Indian and the Chief of the Puncas, plate 7 from 'Travels in the Interior of North America'
81|Ferdinand Hodler|1908|landscape|Art Nouveau (Modern)|Rhythmic landscape on Lake Geneva
82|Ferdinand Hodler|1908|sketch and study|Symbolism|The German students in the War of Liberation of 1813
83|Ferdinand Hodler|1916|portrait|Art Nouveau (Modern)|"Portrait study to ""Look into the infinity"""
84|Koloman Moser|1914|symbolic painting|Art Nouveau (Modern)|The light
85|William Blake|1803|religious painting|Symbolism|Christ Nailed to the Cross The Third Hour
86|Rudolf von Alt|1888|landscape|Romanticism|View of Bad Gastein
87|Ferdinand Hodler|1880|landscape|Romanticism|At the Jonction
88|Thomas Eakins|1876|genre painting|Realism|The Courtship
89|Pierre-Auguste Renoir|1917|sketch and study|Impressionism|Sitting Girl
90|Koloman Moser|1897|genre painting|Realism|Girls in henhouse
91|Gerrit Dou|1632|portrait|Baroque|Heraklith
92|Ferdinand Hodler|1908|sketch and study|Art Nouveau (Modern)|Cavalryman striding a horse 
93|Ferdinand Hodler|1908|genre painting|Art Nouveau (Modern)|The German students in the War of Liberation of 1813
94|Koloman Moser|1914|nude painting (nu)|Art Nouveau (Modern)|Three women squatting
95|Diego Velazquez|1656|portrait|Baroque|Portrait of Philip IV of Spain
96|Karl Bodmer|1844|genre painting|Romanticism|Encampment of the Piekann Indians, plate 43 from Volume 2 of 'Travels in the Interior of North America'
97|Koloman Moser|1909|design|Art Nouveau (Modern)|Envelope for the score to the opera Julius Bittner's opera 'The musician'
98|Paul Signac|1922|landscape|Impressionism|The Look at Montauban in rain
99|Ferdinand Hodler|1904|landscape|Art Nouveau (Modern)|Thun, Stockhornkette
100|Ferdinand Hodler|1913|sketch and study|Art Nouveau (Modern)|Thirteen standing draped figures
101|Koloman Moser|1915|mythological painting|Art Nouveau (Modern)|Wotan and Brunhilde
102|Ferdinand Hodler|1882|genre painting|Impressionism|Prayer in the Saint Pierre Cathedral in Geneva
103|Ferdinand Hodler|1893|landscape|Post-Impressionism|Landscape with two small trees
104|Guido Reni|1580|religious painting|Baroque|Assumption of the Virgin
105|Koloman Moser|1912|sketch and study|Art Nouveau (Modern)|Kolo middle Dolomites
106|Koloman Moser|1913|landscape|Symbolism|Landscape in Semmering
107|Ferdinand Hodler|1913|portrait|Art Nouveau (Modern)|Valentine Gode Darel, with disheveled hair
108|Koloman Moser|1913|nude painting (nu)|Art Nouveau (Modern)|Female Nude with blue cloth
109|Karl Bodmer|1844|portrait|Romanticism|Noapeh, an Assiniboin Indian and Psihdja-Sahpa, a Yanktonan Indian, plate 12 from Volume 2 of 'Travels in the Interior of North America'
110|Rudolf von Alt|1874|cityscape|Romanticism|View of the Ducal Palace in Venice
111|Karl Bodmer|1844|genre painting|Romanticism|Pehriska-Ruhpa, Minatarre Warrior in the Costume of the Dog Dance, plate 23 from Volume 2 of 'Travels in the Interior of North America'
112|Ferdinand Hodler|1885|genre painting|Impressionism|Seamstress
113|Koloman Moser|1908|design|Art Nouveau (Modern)|Design for the anniversary card Korrespodenz (Vienna edition)
114|Ferdinand Hodler|1908|landscape|Post-Impressionism|Landscape with of rhythm
115|Francisco Goya|1814|portrait|Romanticism|The Duke of Wellington
116|Koloman Moser|1907|landscape|Post-Impressionism|Landscape in Semmering
117|Ferdinand Hodler|1915|landscape|Symbolism|Peaks in the morning
118|Karl Bodmer|1843|portrait|Romanticism|Mandan indians
119|Valentin Serov|1887.0|portrait|Impressionism|Girl with Peaches 
120|Ferdinand Hodler|1890|landscape|Realism|At the foot of the Salève
121|Pierre-Paul Prud'hon|1793|portrait|Romanticism|Louis Antoine de Saint Just
122|Guido Reni|1600|religious painting|Baroque|St. Peter Penitent
123|Karl Bodmer|1844|portrait|Romanticism|Chief of the Blood Indians, War Chief of the Piekann Indians and a Koutani Indian, plate 46 from Volume 2 of 'Travels in the Interior of North America'
124|Guido Reni|1625|religious painting|Baroque|Baby Jesus asleep on the Cross
125|Ivan Kramskoy|1872|religious painting|Realism|Christ in the Wilderness
126|Ferdinand Hodler|1893|landscape|Post-Impressionism|Maggia Delta before sunrise
127|Ferdinand Hodler|1914|landscape|Symbolism|Lake Geneva with six swans
128|Theophile Steinlen|1895.0|illustration|Realism|L'Internationale  
129|Theophile Steinlen|1893.0|illustration|Art Nouveau (Modern)|Les Gavroches  
130|Thomas Cole|1829|landscape|Romanticism|The Subsiding of the Waters of the Deluge
131|Ferdinand Hodler|1882|cityscape|Impressionism|Samoëns
132|Ferdinand Hodler|1908|landscape|Symbolism|Evening mist on Lake Thun
133|Rudolf von Alt|1847|cityscape|Romanticism|The St. Stephen's Cathedral in Vienna
134|Ferdinand Hodler|1878|landscape|Realism|Pastures at the Jonction at Geneva
135|Koloman Moser|1895|religious painting|Symbolism|Pieta
136|Orest Kiprensky|1827|portrait|Romanticism|Portrait of Alexander Pushkin 
137|Koloman Moser|1901|design|Art Nouveau (Modern)|Design for a Stage Decoration
138|Eugene von Guerard|1858.0|landscape|Romanticism|Purrumbete from across the lake 
139|Ferdinand Hodler|1893|symbolic painting|Art Nouveau (Modern)|What are flowers saing
140|Koloman Moser|1902|design|Art Nouveau (Modern)|Draft of furniture decoration for the bedroom of the apartment Eisler Terra Mare
141|Ferdinand Hodler|1915|portrait|Art Nouveau (Modern)|Border woman figure in blue Gwand
142|Ferdinand Hodler|1915|landscape|Art Nouveau (Modern)|Weisshorn of Montana
143|Koloman Moser|1897|design|Art Nouveau (Modern)|Postcard to Carl Moll, Ver Sacrum
144|Alfred Sisley|1885|landscape|Impressionism|The banks of the Loing Moret
145|Franz Stuck|1897|portrait|Symbolism|S. K. H. Prince Regent Luitpold of Bavaria
146|Paul Signac|1922|cityscape|Impressionism|Le Havre with rain clouds
147|Koloman Moser|1914|sketch and study|Art Nouveau (Modern)|Figure study to Mermaid
148|Rudolf von Alt|1843|cityscape|Romanticism|The main square in Bratislava
149|Rudolf von Alt|1841|landscape|Romanticism|View of Ragusa
150|Ferdinand Hodler|1917|landscape|Symbolism|Landscape at Caux with increasing clouds
151|Karl Bodmer|1832|portrait|Romanticism|Woman of the Snake tribe and woman of the Cree tribe, plate 33  from Volume 1 of 'Travels in the Interior of North America'
152|Ferdinand Hodler|1917|landscape|Post-Impressionism|Lake Geneva from the Caux
153|Rudolf von Alt|1903|cityscape|Romanticism|The iron foundry in Kitschelt Skodagasse in Vienna
154|Ferdinand Hodler|1884|portrait|Impressionism|Seated bearded man
155|Karl Bodmer|1843|landscape|Romanticism|A Mandan village, plate 16 from Volume 1 of 'Travels in the Interior of North America'
156|Rudolf von Alt|1844|genre painting|Romanticism|Count Casimir Batthyány in his saloon at Castle Siklós
157|Ivan Bilibin|1909.0|design|Art Nouveau (Modern)|Sketch for the opera, 'The Golden Cockerel', by Nikolai Rimsky-Korsakov 
158|Ferdinand Hodler|1915|portrait|Art Nouveau (Modern)|Standing female figure in a blue dress
159|Karl Bodmer|1844|genre painting|Romanticism|Funeral Scaffold of a Sioux Chief near Fort Pierre, plate 11 from Volume 2 of 'Travels in the Interior of North America'
160|Ivan Bilibin|1909.0|design|Art Nouveau (Modern)|Sketch for the Opera, The Golden Cockerel, by Nikolai Rimsky-Korsakov 
161|Ferdinand Hodler|1912|sketch and study|Symbolism|Five swearing
162|Rudolf von Alt|1890|cityscape|Romanticism|View of Klosterneuburg
163|Koloman Moser|1904|design|Art Nouveau (Modern)|Flowers
164|Rudolf von Alt|1867|cityscape|Romanticism|The courtyard of the Doge's Palace in Venice
165|Rembrandt|1640|portrait|Baroque|Self-portrait at the Age of 34
166|Thomas Eakins|1871|genre painting|Realism|At the Piano
167|Rudolf von Alt|1840|landscape|Romanticism|Lake Traun
168|Ferdinand Hodler|1896|sketch and study|Realism|Battle scenes
169|Sir Lawrence Alma-Tadema|1885|portrait|Romanticism|Dr. Washington Epps, My Doctor
170|Rudolf von Alt|1842|cityscape|Romanticism|The Town Hall in Mödling
171|Berthe Morisot|1882|genre painting|Impressionism|At the Beach in Nice
172|Fyodor Bronnikov|1880|illustration|Realism|The Garden Arbor
173|Rudolf von Alt|1837|cityscape|Romanticism|The Basilica of Santa Maria Maggiore in Rome
174|Caravaggio|1597|mythological painting|Baroque|Medusa
175|Ferdinand Hodler|1905|landscape|Post-Impressionism|Lake Geneva from Chexbres
176|Ferdinand Hodler|1918|landscape|Symbolism|Lake Geneva with Mont Blanc at dawn
177|Gustave Moreau|1893|portrait|Symbolism|Sappho
178|Ferdinand Hodler|1889|genre painting|Post-Impressionism|Child by the table
179|Orest Kiprensky|1809|portrait|Romanticism|Portrait of Alexander Chelishchev
180|Paul Signac|1921|landscape|Impressionism|Saint Paul de Vence
181|Rudolf von Alt|1835|cityscape|Romanticism|View from the Monastery of Sant 'Onofrio in Rome
182|Ivan Bilibin|1907.0|design|Art Nouveau (Modern)|Sketch for the spectacle, The action of Theophile
183|Rudolf von Alt|1903|genre painting|Romanticism|Motif from Goisern
184|Karl Bodmer|1843|genre painting|Romanticism|Scalp dance of the Minatarres
185|Koloman Moser|1907|design|Art Nouveau (Modern)|Holy Spirit Church in Düsseldorf, design for the entrance wall
186|Ferdinand Hodler|1916|landscape|Post-Impressionism|Mountain stream near Champéry
187|Ivan Bilibin|1914.0|design|Art Nouveau (Modern)|Sketches of scenery for Sadko by Nikolai Rimsky-Korsakov
188|Ferdinand Hodler|1918|landscape|Symbolism|Lake Geneva with Mont Blanc in the morning light
189|Honore Daumier|1865|genre painting|Realism|Group of Actors at Mid Body, the Former French Comedy
190|Rudolf von Alt|1839|landscape|Romanticism|Storm on Lake Garda
191|Koloman Moser|1913|landscape|Symbolism|Mountain slope
192|Ivan Bilibin|1930.0|design|Art Nouveau (Modern)|"Sketch for the opera ""Prince Igor"" by Alexander Borodin "
193|Vasily Tropinin|1823|portrait|Romanticism|Portrait of K.G.Ravich
194|Thomas Eakins|1903|portrait|Realism|The Honorable John A. Thorton 
195|William-Adolphe Bouguereau|1891|portrait|Realism|The Broken Pitcher
196|Koloman Moser|1907|design|Art Nouveau (Modern)|Holy Spirit Church in Düsseldorf, design for the choir wall
197|Rudolf von Alt|1839|landscape|Romanticism|Altausseersee with Trisselwand
198|Ferdinand Hodler|1918|landscape|Symbolism|Lake Geneva with Mont Blanc at dawn
199|Thomas Eakins|1902|portrait|Realism|Portrait of Miss Mary Perkins  
200|Ferdinand Hodler|1899|sketch and study|Symbolism|Left border warriors
201|Koloman Moser|1895|illustration|Art Nouveau (Modern)|Reproduction template for the leaf for Gerlach's love allegories. New Series, Plate 35
202|Ernst Ludwig Kirchner|1912|sketch and study|Expressionism|Women and Sculptures on the Beach
203|Winslow Homer|1894|landscape|Realism|High Cliff, Coast of Maine
204|Ferdinand Hodler|1913|sketch and study|Symbolism|Left border woman
205|Koloman Moser|1913|landscape|Symbolism|Landscape in Semmering with view of Rax
206|Ivan Shishkin|1896.0|landscape|Realism|The Forest Clearing
207|Edouard Vuillard|1911|portrait|Post-Impressionism|Half-figure of a seated woman
208|Koloman Moser|1913|design|Art Nouveau (Modern)|Stage design for 'The Phantom' of Hermann Bahr
209|Koloman Moser|1913|design|Art Nouveau (Modern)|Stage design for 'The Phantom' of Hermann Bahr
210|Rudolf von Alt|1845|cityscape|Romanticism|The parish church in Ofen
211|Franz Stuck|1913|religious painting|Symbolism|Susanna and the Elders
212|Rudolf von Alt|1845|landscape|Romanticism|Hallstatt
213|Theophile Steinlen|1892.0|illustration|Art Nouveau (Modern)|Separation  
214|Ferdinand Hodler|1885|portrait|Realism|Portrait of Louise Delphine Duchosal
215|Koloman Moser|1913|landscape|Symbolism|Landscape in Semmering
216|Theophile Steinlen|1894.0|illustration|Realism|La Mort de Jesus  
217|Ferdinand Hodler|1918|landscape|Symbolism|Lake Geneva with Mont Blanc at dawn
218|Claude Monet|1873|landscape|Impressionism|Apple Trees in Bloom
219|Ferdinand Hodler|1892|symbolic painting|Art Nouveau (Modern)|The life of Weary
220|Ferdinand Hodler|1908|genre painting|Art Nouveau (Modern)|Jenenser Student
221|Ferdinand Hodler|1904|landscape|Post-Impressionism|Lake Geneva from Chexbres
222|Ivan Bilibin|1929.0|design|Art Nouveau (Modern)|"Sketch for the opera ""Legend of the Invisible City of Kitezh and Maiden Fevronia""  by Nikolai Rimsky-Korsakov "
223|Mstislav Dobuzhinsky|1957|cityscape|Symbolism|Old House in Germany
224|Ferdinand Hodler|1879|genre painting|Impressionism|The fisherman
225|Rudolf von Alt|1875|landscape|Romanticism|View of Böckstein and the entrance to Anlauftal
226|Rudolf von Alt|1863|landscape|Romanticism|The Imperial Palace Livadia in the Crimea
227|Camille Corot|1827|cityscape|Realism|Rome, Castle Sant Angelo
228|Ernst Ludwig Kirchner|1913|sketch and study|Expressionism|Three Women
229|Karl Bodmer|1843|portrait|Romanticism|Mato-Tope, Adorned with the Insignia of his Warlike Deeds, plate 14 from Volume 2 of 'Travels in the Interior of North America'
230|Childe Hassam|1889|landscape|Impressionism|New England Headlands
231|Claude Monet|1875|landscape|Impressionism|Poppy Field, Argenteuil
232|Claude Monet|1888|landscape|Impressionism|Gardener's House at Antibes
233|Ernst Ludwig Kirchner|1913|portrait|Expressionism|Erna Japanschirm
234|Koloman Moser|1897|sketch and study|Art Nouveau (Modern)|Allegory of Ver Sacrum, sketch of illustration to Ver Sacrum, 101 1898, p.1
235|Henri de Toulouse-Lautrec|1891|portrait|Post-Impressionism|The Greens (Seated Woman in a Garden)
236|Nikolai Ge|1890|religious painting|Realism|What is Truth. Christ and Pilate
237|Rudolf von Alt|1837|landscape|Romanticism|View from the chapel Rosalie
238|Karl Bodmer|1843|genre painting|Romanticism|The Travellers Meeting with Minatarre Indians near Fort Clark, plate 26 from Volume 1 of 'Travels in the Interior of North America'
239|Ferdinand Hodler|1882|genre painting|Realism|The cobbler by the window
240|Koloman Moser|1897|illustration|Art Nouveau (Modern)|Matter of conscience. Humorous Illustration for Meggendorfers leaves.
241|Karl Bodmer|1834|portrait|Romanticism|Abdih- Hiddisch. A Minatarre Chief, plate 24 from Volume 1 of 'Travels in the Interior of North America'
242|Ferdinand Hodler|1878|landscape|Realism|On the banks of the Manzanares
243|Ferdinand Hodler|1913|sketch and study|Symbolism|Standing draped figure
244|Rudolf von Alt|1839|genre painting|Romanticism|Galician gypsies
245|Theophile Steinlen|1894.0|illustration|Art Nouveau (Modern)|Sur L'Eau  
246|Valentin Serov|1910.0|mythological painting|Art Nouveau (Modern)|The Rape of Europa 
247|Theophile Steinlen|1900.0|illustration|Realism|Tu te Brules a la Chandelle 
248|Karl Bodmer|1843|genre painting|Romanticism|A Blackfoot Indian on Horseback, plate 19 from Volume 1 of 'Travels in the Interior of North America'
249|Francisco Goya|1800|nude painting (nu)|Romanticism|Nude Maja
250|Rudolf von Alt|1831|cityscape|Romanticism|View of Salzburg
251|Karl Bodmer|1843|genre painting|Romanticism|A Skin Lodge of an Assiniboin Chief, plate 16 from Volume 1 of 'Travels in the Interior of North America'
252|Karl Bodmer|1843|landscape|Romanticism|Winter village of the Minatarres
253|Ferdinand Hodler|1913|sketch and study|Symbolism|Left border woman
254|Karl Bodmer|1843|portrait|Romanticism|Mándeh Páhchu, a Young Mandan Indian, plate 24 from Volume 1 of 'Travels in the Interior of North America'
255|Francisco Goya|1800|portrait|Romanticism|The Clothed Maja
256|Ferdinand Hodler|1912|landscape|Art Nouveau (Modern)|Wetterhorn
257|Koloman Moser|1913|landscape|Art Nouveau (Modern)|The Abersee
258|Ferdinand Hodler|1909|sketch and study|Art Nouveau (Modern)|The working mower
259|Koloman Moser|1914|sketch and study|Art Nouveau (Modern)|A crouching woman
260|Paul Signac|1924|still life|Impressionism|Floral still life
261|Ferdinand Hodler|1912|landscape|Symbolism|Grand Muveran
262|Karl Bodmer|1843|genre painting|Romanticism|Horse Racing of Sioux Indians near Fort Pierre, plate 30 from Volume 1 of 'Travels in the Interior of North America'
263|Thomas Eakins|1874|landscape|Realism|Ships and Sailboats on the Delaware 
264|Koloman Moser|1898|design|Art Nouveau (Modern)|Ver Sacrum postcard nr. 12 I. Secessionausstellung  with greeting line of the art historian Julius von Schlosser
265|Claude Monet|1887|landscape|Impressionism|Sunlight Effect under the Poplars
266|Thomas Eakins|1903|portrait|Realism|Portrait of Adam S. Bare  
267|Ferdinand Hodler|1871|landscape|Romanticism|Charlet in Hilterfingen
268|Childe Hassam|1900|cityscape|Impressionism|New York, Late Afternoon, Winter
269|Karl Bodmer|1832|landscape|Romanticism|Tombs of Assiniboin Indians on Trees, plate 30 from volume 1 of `Travels in the Interior of North America'
270|Koloman Moser|1912|landscape|Symbolism|Lake Garda
271|Karl Bodmer|1843|genre painting|Romanticism|Ischohä Kakoschochatä Dance of the Mandan Indians, plate 25 from Volume 2 of 'Travels in the Interior of North America'
272|Claude Monet|1894|cityscape|Impressionism|Rouen Cathedral, the Portal, Morning Effect
273|Camille Corot|1873|landscape|Realism|Ville d'Avray
274|Thomas Eakins|1884|landscape|Realism|Landscape 
275|Carl Larsson|1898|genre painting|Art Nouveau (Modern)|The Kitchen
276|Carl Larsson|1895|genre painting|Art Nouveau (Modern)|A Day of Celebration
277|Carl Larsson|1897|genre painting|Art Nouveau (Modern)|Mammas and the small girls
278|Carl Larsson|1906|genre painting|Art Nouveau (Modern)|Model Writing Postcards
279|Ferdinand Hodler|1883|genre painting|Impressionism|The netmender
280|Raphael Kirchner|1916.0|illustration|Art Nouveau (Modern)|New York Tribune
281|Rudolf von Alt|1895|cityscape|Romanticism|The tomb of Emperor Frederick III in the Stephansdom in Vienna
282|Claude Monet|1874|landscape|Impressionism|The Allee du Champ de Foire at Argenteuil
283|Ferdinand Hodler|1913|sketch and study|Symbolism|Standing draped figure
284|William-Adolphe Bouguereau|1895|nude painting (nu)|Realism|Spring Breeze
285|Koloman Moser|1896|design|Art Nouveau (Modern)|Waidmannsheil
286|Edgar Degas|1877|genre painting|Impressionism|Repetition of the Dance (detail)
287|Rudolf von Alt|1897|cityscape|Romanticism|View of Salzburg
288|Dante Gabriel Rossetti|1849|genre painting|Romanticism|The Laboratory
289|Carl Larsson|1895|genre painting|Art Nouveau (Modern)|Breakfast under the Big Birch
290|Ferdinand Hodler|1899|sketch and study|Symbolism|Left border warriors
291|Viktor Vasnetsov|1881.0|mythological painting|Symbolism|Bogatyrs
292|Ferdinand Hodler|1913|sketch and study|Symbolism|Standing draped figure
293|Honore Daumier|1867|genre painting|Realism|Chess-Players
294|Koloman Moser|1913|sketch and study|Art Nouveau (Modern)|Hut in Leysin
295|Carl Larsson|1898|genre painting|Art Nouveau (Modern)|Lisbeth fishing
296|Karl Bodmer|1844|landscape|Romanticism|Idols of the Mandan Indians, plate 25 from volume 2 of `Travels in the Interior of North America'
297|Koloman Moser|1913|portrait|Art Nouveau (Modern)|Young woman with hat
298|James Tissot|1873|genre painting|Realism|Boarding the Yacht
299|Karl Bodmer|1843|landscape|Romanticism|Offering of the Mandan Indians, plate 14 from Volume 1 of 'Travels in the Interior of North America'
300|Karl Bodmer|1843|genre painting|Romanticism|Crow Indians, plate 13 from volume 1 of `Travels in the Interior of North America'
301|Koloman Moser|1914|sketch and study|Symbolism|Study of clouds
302|James Tissot|1874|genre painting|Realism|London Visitors
303|Alfred Sisley|1874|landscape|Impressionism|Under the bridge at Hampton Court
304|Franz Stuck|1907|portrait|Symbolism|Grand Duke Ernst Ludwig
305|Paula Modersohn-Becker|1898|portrait|Expressionism|Portrait of an old woman
306|Koloman Moser|1903|design|Art Nouveau (Modern)|Draft drawings for the breakfast room of the apartment Eisler Terramare, ladies desk chair with retractable
307|Koloman Moser|1905|design|Art Nouveau (Modern)|Church Am Steinhof, drawing of the angel in the left side window
308|Odilon Redon|1885|symbolic painting|Symbolism|Flower of the swamp, a head human and sad
309|Ferdinand Hodler|1896|sketch and study|Symbolism|Dying cadet
310|Jean-Francois Millet|1865|mythological painting|Realism|Spring (Daphnis and Chloë)
311|Diego Velazquez|1632|portrait|Baroque|Philip IV of Spain in Brown and Silver
312|James Tissot|1867|genre painting|Realism|Beating the Retreat in the Tuileries Gardens
313|Vasily Vereshchagin|1871|landscape|Realism|The Apotheosis of War
314|Rudolf von Alt|1840|landscape|Romanticism|The Bay of Cattaro in Dalmatia
315|Mstislav Dobuzhinsky|1940|landscape|Symbolism|Farm in New England
316|Mstislav Dobuzhinsky|1927|cityscape|Expressionism|Rue de la Tombe-Issoire, Paris
317|Gustav Klimt|1904|portrait|Symbolism|Portrait of Hermine Gallia
318|Dante Gabriel Rossetti|1861|portrait|Romanticism|Fair Rosamund
319|Karl Bodmer|1843|landscape|Romanticism|Washinga Saba's grave on Blackbirds hill, plate 12 from Volume 2 of 'Travels in the Interior of North America'
320|Theophile Steinlen|1916.0|landscape|Art Nouveau (Modern)|Landscape of Belmont, near Lausanne
321|Rudolf von Alt|1835|landscape|Romanticism|Castellammare on the Gulf of Naples
